,movieId,title,genres,tag,top_5_tags
16,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Mystery, Sci-Fi, Thriller","[('time travel', 3), ('Brad Pitt', 1), ('Bruce Willis', 1), ('mindfuck', 1), ('Post apocalyptic', 1), ('post-apocalyptic', 1), ('remake', 1), ('twist ending', 1)]","time travel, Brad Pitt, Bruce Willis, mindfuck, Post apocalyptic"
17,34,Babe (1995),"Children, Drama","[('Animal movie', 1), ('pigs', 1), ('villain nonexistent or not needed for good story', 1)]","Animal movie, pigs, villain nonexistent or not needed for good story"
18,36,Dead Man Walking (1995),"Crime, Drama","[('death penalty', 1), ('Nun', 1)]","death penalty, Nun"
19,38,It Takes Two (1995),"Children, Comedy","[('twins', 1)]",twins
20,39,Clueless (1995),"Comedy, Romance","[('chick flick', 1), ('funny', 1), ('Paul Rudd', 1), ('quotable', 1), ('seen more than once', 1), ('Emma', 1), ('Jane Austen', 1)]","chick flick, funny, Paul Rudd, quotable, seen more than once"
21,40,"Cry, the Beloved Country (1995)",Drama,"[('In Netflix queue', 1), ('South Africa', 1)]","In Netflix queue, South Africa"
22,41,Richard III (1995),"Drama, War","[('Shakespeare', 1)]",Shakespeare
23,43,Restoration (1995),Drama,"[('England', 1)]",England
24,45,To Die For (1995),"Comedy, Drama, Thriller","[('Journalism', 1)]",Journalism
25,46,How to Make an American Quilt (1995),"Drama, Romance","[('wedding', 1)]",wedding
26,47,Seven (a.k.a. Se7en) (1995),"Mystery, Thriller","[('mystery', 1), ('twist ending', 1), ('serial killer', 1)]","mystery, twist ending, serial killer"
27,50,The Usual Suspects (1995),"Crime, Mystery, Thriller","[('mindfuck', 1), ('suspense', 1), ('thriller', 1), ('tricky', 1), ('twist ending', 1), ('heist', 1)]","mindfuck, suspense, thriller, tricky, twist ending"
28,52,Mighty Aphrodite (1995),"Comedy, Drama, Romance","[('adoption', 1), ('prostitution', 1)]","adoption, prostitution"
29,58,"The Postman (Postino, Il) (1994)","Comedy, Drama, Romance","[('writing', 1)]",writing
30,62,Mr. Holland's Opus (1995),Drama,"[('music', 1)]",music
31,92,Mary Reilly (1996),"Drama, Horror, Thriller","[('Jekyll and Hyde', 1)]",Jekyll and Hyde
32,96,In the Bleak Midwinter (1995),"Comedy, Drama","[('theater', 1)]",theater
33,101,Bottle Rocket (1996),"Adventure, Comedy, Crime, Romance","[('crime', 1), ('off-beat comedy', 1), ('quirky', 1)]","crime, off-beat comedy, quirky"
34,104,Happy Gilmore (1996),Comedy,"[('test tag', 1), ('golf', 1), ('Adam Sandler', 1)]","test tag, golf, Adam Sandler"
35,107,Muppet Treasure Island (1996),"Adventure, Children, Comedy, Musical","[('muppets', 1)]",muppets
36,110,Braveheart (1995),"Action, Drama, War","[('beautiful scenery', 1), ('epic', 1), ('historical', 1), ('inspirational', 1), ('Medieval', 1), ('mel gibson', 1), ('Oscar (Best Cinematography)', 1), ('revenge', 1), ('sword fight', 1), ('Scotland', 1)]","beautiful scenery, epic, historical, inspirational, Medieval"
37,111,Taxi Driver (1976),"Crime, Drama, Thriller","[('assassination', 1)]",assassination
38,116,Anne Frank Remembered (1995),Documentary,"[('Holocaust', 1)]",Holocaust
39,122,Boomerang (1992),"Comedy, Romance","[('dating', 1)]",dating
40,140,Up Close and Personal (1996),"Drama, Romance","[('journalism', 1)]",journalism
41,147,The Basketball Diaries (1995),Drama,"[('addiction', 1), ('heroin', 1), ('Leonardo DiCaprio', 1), ('Mark Wahlberg', 1)]","addiction, heroin, Leonardo DiCaprio, Mark Wahlberg"
42,150,Apollo 13 (1995),"Adventure, Drama, IMAX","[('moon', 1), ('NASA', 1), ('space', 1)]","moon, NASA, space"
43,153,Batman Forever (1995),"Action, Adventure, Comedy, Crime","[('superhero', 2)]",superhero
44,160,Congo (1995),"Action, Adventure, Mystery, Sci-Fi","[('Michael Crichton', 1)]",Michael Crichton
45,161,Crimson Tide (1995),"Drama, Thriller, War","[('submarine', 1)]",submarine
46,162,Crumb (1994),Documentary,"[('In Netflix queue', 1)]",In Netflix queue
47,175,Kids (1995),Drama,"[('controversial', 1), ('New York City', 1), ('Nudity (Full Frontal)', 1)]","controversial, New York City, Nudity (Full Frontal)"
48,185,The Net (1995),"Action, Crime, Thriller","[('computers', 1)]",computers
49,199,"The Umbrellas of Cherbourg (Parapluies de Cherbourg, Les) (1964)","Drama, Musical, Romance","[('Made me cry', 1)]",Made me cry
50,215,Before Sunrise (1995),"Drama, Romance","[('generation X', 1)]",generation X
51,216,Billy Madison (1995),Comedy,"[('school', 1), ('Adam Sandler', 1), ('stop looking at me swan', 1)]","school, Adam Sandler, stop looking at me swan"
52,222,Circle of Friends (1995),"Drama, Romance","[('Ireland', 1)]",Ireland
53,223,Clerks (1994),Comedy,"[('cynical', 1), ('hilarious', 1), ('independent film', 1), ('quirky', 1), ('witty', 1), ('generation X', 1)]","cynical, hilarious, independent film, quirky, witty"
54,224,Don Juan DeMarco (1995),"Comedy, Drama, Romance","[('mental illness', 1), ('psychology', 1)]","mental illness, psychology"
55,230,Dolores Claiborne (1995),"Drama, Thriller","[('Stephen King', 1)]",Stephen King
56,232,Eat Drink Man Woman (Yin shi nan nu) (1994),"Comedy, Drama, Romance","[('In Netflix queue', 1)]",In Netflix queue
57,235,Ed Wood (1994),"Comedy, Drama","[('movie business', 1)]",movie business
58,237,Forget Paris (1995),"Comedy, Romance","[('basketball', 1), ('France', 1), ('infertility', 1)]","basketball, France, infertility"
59,246,Hoop Dreams (1994),Documentary,"[('basketball', 1)]",basketball
60,247,Heavenly Creatures (1994),"Crime, Drama","[('Australia', 1)]",Australia
61,248,Houseguest (1994),Comedy,"[('bad', 1), ('Sinbad', 1)]","bad, Sinbad"
62,249,Immortal Beloved (1994),"Drama, Romance","[('Beethoven', 1)]",Beethoven
63,252,I.Q. (1994),"Comedy, Romance","[('Einstein', 1)]",Einstein
64,257,Just Cause (1995),"Mystery, Thriller","[('court', 1)]",court
65,260,Star Wars: Episode IV - A New Hope (1977),"Action, Adventure, Sci-Fi","[('sci-fi', 3), ('classic sci-fi', 3), ('classic', 2), ('space action', 2), ('EPIC', 2), ('Star Wars', 2), ('action', 1), ('great soundtrack', 1), ('engrossing adventure', 1), ('Nerd', 1), ('space epic', 1), ('oldie but goodie', 1), ('ROBOTS AND ANDROIDS', 1), ('space', 1), ('space adventure', 1), ('darth vader', 1), ('luke skywalker', 1), ('space opera', 1)]","sci-fi, classic sci-fi, classic, space action, EPIC"
66,261,Little Women (1994),Drama,"[('Louisa May Alcott', 1)]",Louisa May Alcott
67,262,"Little Princess, A (1995)","Children, Drama","[('England', 1), ('Girl Power', 1), ('India', 1)]","England, Girl Power, India"
68,272,The Madness of King George (1994),"Comedy, Drama","[('England', 1), ('mental illness', 1)]","England, mental illness"
69,273,Mary Shelley's Frankenstein (Frankenstein) (1994),"Drama, Horror, Sci-Fi","[('gothic', 1)]",gothic
70,277,Miracle on 34th Street (1994),Drama,"[('Christmas', 1)]",Christmas
71,279,My Family (1995),Drama,"[('In Netflix queue', 1)]",In Netflix queue
72,280,Murder in the First (1995),"Drama, Thriller","[('prison', 1)]",prison
73,282,Nell (1994),Drama,"[('disability', 1), ('twins', 1)]","disability, twins"
74,288,Natural Born Killers (1994),"Action, Crime, Thriller","[('brutality', 1), ('controversial', 1), ('dark comedy', 1), ('psychedelic', 1), ('satire', 1), ('stylized', 1)]","brutality, controversial, dark comedy, psychedelic, satire"
75,290,Once Were Warriors (1994),"Crime, Drama","[('In Netflix queue', 1)]",In Netflix queue
76,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"Action, Crime, Drama, Thriller","[('assassin', 2), ('Jean Reno', 2), ('hit men', 2), ('Action', 1), ('assassination', 1), ('assassins', 1), ('awkward romance', 1), ('corruption', 1), ('crime', 1), ('disturbing', 1), ('drama', 1), ('French', 1), ('friendship', 1), ('Gary Oldman', 1), ('great acting', 1), ('Guns', 1), ('hitman', 1), ('humorous', 1), ('imdb top 250', 1), ('Lolita theme', 1), ('loneliness', 1), ('love story', 1), ('Luc Besson', 1), ('Natalie Portman', 1), ('organized crime', 1), ('police', 1), ('police corruption', 1), ('quirky', 1), ('sniper', 1), ('tense', 1), ('touching', 1), ('unique', 1)]","assassin, Jean Reno, hit men, Action, assassination"
77,296,Pulp Fiction (1994),"Comedy, Crime, Drama, Thriller","[('good dialogue', 2), ('great soundtrack', 2), ('non-linear', 2), ('cult film', 2), ('drugs', 2), ('Quentin Tarantino', 2), ('Tarantino', 2), ('hit men', 2), ('1990s', 1), ('achronological', 1), ('action', 1), ('action packed', 1), ('aggressive', 1), ('amazing', 1), ('amazing dialogues', 1), ('anthology', 1), ('assassin', 1), ('atmospheric', 1), ('AWESOME', 1), ('bad ass', 1), ('bad language', 1), ('bad-ass', 1), ('bible', 1), ('biblical references', 1), ('big boys with guns', 1), ('big name actors', 1), ('Black comedy', 1), ('black humor', 1), ('black humour', 1), ('blood', 1), ('blood splatters', 1), ('bloody', 1), ('bruce willis', 1), ('brutality', 1), ('casual violence', 1), ('character development', 1), ('characters', 1), ('classic', 1), ('classic movie', 1), ('coke', 1), ('comedy', 1), ('conversation', 1), ('cool', 1), ('cool style', 1), ('crime', 1), ('crime scene scrubbing', 1), ('cult', 1), ('cult classic', 1), ('dance', 1), ('dancing', 1), ('dark', 1), ('dark comedy', 1), ('dark humor', 1), ('dialogue', 1), ('different', 1), ('diner', 1), ('disjointed timeline', 1), ('disturbing', 1), ('drama', 1), ('drug overdose', 1), ('drugs & music', 1), ('ensemble cast', 1), ('entertaining', 1), ('entirely dialogue', 1), ('episodic', 1), ('exciting', 1), ('fast paced', 1), ('fast-paced', 1), ('film noir', 1), ('film-noir', 1), ('foul language', 1), ('fun', 1), ('funny', 1), ('gangster', 1), ('gangsters', 1), ('genius', 1), ('golden watch', 1), ('good music', 1), ('gore', 1), ('great acting', 1), ('great dialogue', 1), ('gritty', 1), ('guns', 1), ('Harvey Keitel', 1), ('heroin', 1), ('Highly quotable', 1), ('hitman', 1), ('homosexuality', 1), ('humour', 1), ('iconic', 1), ('imdb top 250', 1), ('innovative', 1), ('intellectual', 1), ('intelligent', 1), ('intense', 1), ('interesting', 1), ('intertwining storylines', 1), ('interwoven storylines', 1), ('ironic', 1), ('irony', 1), ('John Travolta', 1), ('killer-as-protagonist', 1), ('los angeles', 1), ('Mafia', 1), ('masterpiece', 1), ('meaningless violence', 1), ('milkshake', 1), ('mobster', 1), ('mobsters', 1), ('monologue', 1), ('motherfucker', 1), ('multiple stories', 1), ('multiple storylines', 1), ('neo-noir', 1), ('noir', 1), ('non-linear timeline', 1), ('nonlinear', 1), ('nonlinear narrative', 1), ('nonlinear storyline', 1), ('nonlinear timeline', 1), ('notable soundtrack', 1), ('offensive', 1), ('organised crime', 1), ('organized crime', 1), ('original', 1), ('original plot', 1), ('out of order', 1), (""Palme d'Or"", 1), ('parody', 1), ('philosophical', 1), ('pop culture references', 1), ('psychological', 1), ('pulp', 1), ('quirky', 1), ('Quotable', 1), ('r:disturbing violent content including rape', 1), ('r:disturbing violent images', 1), ('r:graphic sexuality', 1), ('r:some violence', 1), ('r:strong bloody violence', 1), ('r:strong language', 1), ('r:sustained strong stylized violence', 1), ('r:violence', 1), ('random', 1), ('rape', 1), ('retro', 1), ('Roger Avary', 1), ('royal with cheese', 1), ('Samuel L. Jackson', 1), ('sarcasm', 1), ('satire', 1), ('sexy', 1), ('smart writing', 1), ('sophisticated', 1), ('soundtrack', 1), ('splatter', 1), ('Steve Buscemi', 1), ('storytelling', 1), ('stylish', 1), ('stylized', 1), ('suspense', 1), ('thought-provoking', 1), ('thriller', 1), ('travolta', 1), ('twist ending', 1), ('Uma Thurman', 1), ('unique', 1), ('unpredictable', 1), ('unusual', 1), ('very funny', 1), ('violence', 1), ('violent', 1), ('witty', 1)]","good dialogue, great soundtrack, non-linear, cult film, drugs"
78,300,Quiz Show (1994),Drama,"[('TV', 1)]",TV
79,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,"[('Death', 1)]",Death
80,308,Three Colors: White (Trzy kolory: Bialy) (1994),"Comedy, Drama","[('marriage', 1), ('cynical', 1)]","marriage, cynical"
81,316,Stargate (1994),"Action, Adventure, Sci-Fi","[('time travel', 1)]",time travel
82,317,The Santa Clause (1994),"Comedy, Drama, Fantasy","[('Christmas', 1)]",Christmas
83,318,The Shawshank Redemption (1994),"Crime, Drama","[('prison', 1), ('Stephen King', 1), ('wrongful imprisonment', 1), ('Morgan Freeman', 1)]","prison, Stephen King, wrongful imprisonment, Morgan Freeman"
84,326,To Live (Huozhe) (1994),Drama,"[('In Netflix queue', 1)]",In Netflix queue
85,329,Star Trek: Generations (1994),"Adventure, Drama, Sci-Fi","[('Enterprise', 1)]",Enterprise
86,337,What's Eating Gilbert Grape (1993),Drama,"[('mental illness', 1)]",mental illness
87,338,Virtuosity (1995),"Action, Sci-Fi, Thriller","[('serial killer', 1)]",serial killer
88,339,While You Were Sleeping (1995),"Comedy, Romance","[('coma', 1)]",coma
89,342,Muriel's Wedding (1994),Comedy,"[('Australia', 1), ('weddings', 1)]","Australia, weddings"
90,345,"The Adventures of Priscilla, Queen of the Desert (1994)","Comedy, Drama","[('cross dressing', 1), ('men in drag', 1), ('remade', 1)]","cross dressing, men in drag, remade"
91,349,Clear and Present Danger (1994),"Action, Crime, Drama, Thriller","[('Tom Clancy', 1)]",Tom Clancy
92,350,The Client (1994),"Drama, Mystery, Thriller","[('John Grisham', 1)]",John Grisham
93,351,"Corrina, Corrina (1994)","Comedy, Drama, Romance","[('interracial romance', 1)]",interracial romance
94,356,Forrest Gump (1994),"Comedy, Drama, Romance, War","[('shrimp', 1), ('Vietnam', 1), ('bubba gump shrimp', 1), ('lieutenant dan', 1), ('stupid is as stupid does', 1), ('bittersweet', 1), ('emotional', 1), ('heartwarming', 1), ('touching', 1)]","shrimp, Vietnam, bubba gump shrimp, lieutenant dan, stupid is as stupid does"
95,357,Four Weddings and a Funeral (1994),"Comedy, Romance","[('wedding', 1)]",wedding
96,361,It Could Happen to You (1994),"Comedy, Drama, Romance","[('gambling', 1)]",gambling
97,363,"The Wonderful, Horrible Life of Leni Riefenstahl (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,"[('Holocaust', 1), ('In Netflix queue', 1)]","Holocaust, In Netflix queue"
98,364,The Lion King (1994),"Adventure, Animation, Children, Drama, Musical, IMAX","[('Disney', 2), ('Disney animated feature', 1), ('Oscar (Best Music - Original Score)', 1), ('soundtrack', 1)]","Disney, Disney animated feature, Oscar (Best Music - Original Score), soundtrack"
99,371,The Paper (1994),"Comedy, Drama","[('journalism', 1)]",journalism
100,377,Speed (1994),"Action, Romance, Thriller","[('bus', 1)]",bus
101,380,True Lies (1994),"Action, Adventure, Comedy, Romance, Thriller","[('spies', 1)]",spies
102,381,When a Man Loves a Woman (1994),"Drama, Romance","[('alcoholism', 1)]",alcoholism
103,410,Addams Family Values (1993),"Children, Comedy, Fantasy","[('black comedy', 1), ('Christina Ricci', 1), ('Christopher Lloyd', 1), ('dark comedy', 1), ('family', 1), ('gothic', 1)]","black comedy, Christina Ricci, Christopher Lloyd, dark comedy, family"
104,412,The Age of Innocence (1993),Drama,"[('Edith Wharton', 1)]",Edith Wharton
105,413,Airheads (1994),Comedy,"[('Comedy', 1)]",Comedy
106,421,Black Beauty (1994),"Adventure, Children, Drama","[('horses', 1)]",horses
107,425,Blue Sky (1994),"Drama, Romance","[('mental illness', 1), ('Oscar (Best Actress)', 1)]","mental illness, Oscar (Best Actress)"
108,431,Carlito's Way (1993),"Crime, Drama","[('Al Pacino', 1), ('gangster', 1), ('mafia', 1)]","Al Pacino, gangster, mafia"
109,440,Dave (1993),"Comedy, Romance","[('President', 1)]",President
110,454,The Firm (1993),"Drama, Thriller","[('John Grisham', 1)]",John Grisham
111,457,The Fugitive (1993),Thriller,"[('based on a TV show', 1)]",based on a TV show
112,471,The Hudsucker Proxy (1994),Comedy,"[('hula hoop', 1)]",hula hoop
113,474,In the Line of Fire (1993),"Action, Thriller","[('assassination', 1)]",assassination
114,475,In the Name of the Father (1993),Drama,"[('Ireland', 1)]",Ireland
115,477,What's Love Got to Do with It? (1993),"Drama, Musical","[('biopic', 1)]",biopic
116,480,Jurassic Park (1993),"Action, Adventure, Sci-Fi, Thriller","[('Dinosaur', 1)]",Dinosaur
117,488,M. Butterfly (1993),"Drama, Romance","[('Japan', 1), ('sexuality', 1)]","Japan, sexuality"
118,497,Much Ado About Nothing (1993),"Comedy, Romance","[('Shakespeare', 1)]",Shakespeare
119,500,Mrs. Doubtfire (1993),"Comedy, Drama","[('cross dressing', 1), ('divorce', 1), ('men in drag', 1)]","cross dressing, divorce, men in drag"
120,508,Philadelphia (1993),Drama,"[('AIDs', 1)]",AIDs
121,513,Radioland Murders (1994),"Comedy, Mystery, Romance","[('radio', 1), ('show business', 1)]","radio, show business"
122,515,The Remains of the Day (1993),"Drama, Romance","[('Butler', 1), ('Housekeeper', 1)]","Butler, Housekeeper"
123,516,Renaissance Man (1994),"Comedy, Drama","[('military', 1)]",military
124,522,Romper Stomper (1992),"Action, Drama","[('Australia', 1), ('racism', 1), ('violence', 1)]","Australia, racism, violence"
125,524,Rudy (1993),Drama,"[('football', 1)]",football
126,527,Schindler's List (1993),"Drama, War","[('moving', 1), ('thought-provoking', 1), ('Holocaust', 1), ('based on a true story', 1), ('biography', 1), ('disturbing', 1), ('holocaust', 1)]","moving, thought-provoking, Holocaust, based on a true story, biography"
127,529,Searching for Bobby Fischer (1993),Drama,"[('chess', 1)]",chess
128,531,The Secret Garden (1993),"Children, Drama","[('In Netflix queue', 1)]",In Netflix queue
129,534,Shadowlands (1993),"Drama, Romance","[('C.S. Lewis', 1)]",C.S. Lewis
130,535,Short Cuts (1993),Drama,"[('large cast', 1)]",large cast
131,538,Six Degrees of Separation (1993),Drama,"[('race', 1)]",race
132,539,Sleepless in Seattle (1993),"Comedy, Drama, Romance","[('Empire State Building', 1)]",Empire State Building
133,540,Sliver (1993),Thriller,"[('bad', 1)]",bad
134,541,Blade Runner (1982),"Action, Sci-Fi, Thriller","[('atmospheric', 2), ('sci-fi', 1), ('robots', 1), ('androids', 1), ('artificial intelligence', 1), ('cyberpunk', 1), ('future', 1), ('mindfuck', 1), ('Philip K. Dick', 1), ('dreamlike', 1), ('existentialism', 1), ('philosophical', 1)]","atmospheric, sci-fi, robots, androids, artificial intelligence"
135,543,So I Married an Axe Murderer (1993),"Comedy, Romance, Thriller","[('beat poetry', 1)]",beat poetry
136,551,The Nightmare Before Christmas (1993),"Animation, Children, Fantasy, Musical","[('Christmas', 1), ('Halloween', 1)]","Christmas, Halloween"
137,552,The Three Musketeers (1993),"Action, Adventure, Comedy, Romance","[('knights', 1)]",knights
138,556,The War Room (1993),Documentary,"[('politics', 1)]",politics
139,562,Welcome to the Dollhouse (1995),"Comedy, Drama","[('adolescence', 1)]",adolescence
140,586,Home Alone (1990),"Children, Comedy","[('christmas', 1)]",christmas
141,587,Ghost (1990),"Comedy, Drama, Fantasy, Romance, Thriller","[('overrated', 1)]",overrated
142,588,Aladdin (1992),"Adventure, Animation, Children, Comedy, Musical","[('Disney', 1)]",Disney
143,589,Terminator 2: Judgment Day (1991),"Action, Sci-Fi","[('apocalypse', 1), ('Arnold Schwarzenegger', 1), ('nuclear war', 1), ('sci-fi', 1), ('Suspense', 1), ('time travel', 1), ('robots', 1), ('Scifi masterpiece', 1)]","apocalypse, Arnold Schwarzenegger, nuclear war, sci-fi, Suspense"
144,590,Dances with Wolves (1990),"Adventure, Drama, Western","[('American Indians', 1), ('Native Americans', 1)]","American Indians, Native Americans"
145,592,Batman (1989),"Action, Crime, Thriller","[('superhero', 1)]",superhero
146,593,The Silence of the Lambs (1991),"Crime, Horror, Thriller","[('Hannibal Lector', 1), ('disturbing', 1), ('drama', 1), ('gothic', 1), ('psychology', 1), ('suspense', 1)]","Hannibal Lector, disturbing, drama, gothic, psychology"
147,594,Snow White and the Seven Dwarfs (1937),"Animation, Children, Drama, Fantasy, Musical","[('Disney', 1)]",Disney
148,595,Beauty and the Beast (1991),"Animation, Children, Fantasy, Musical, Romance, IMAX","[('Disney', 1)]",Disney
149,596,Pinocchio (1940),"Animation, Children, Fantasy, Musical","[('Disney', 1)]",Disney
150,597,Pretty Woman (1990),"Comedy, Romance","[('prostitution', 1)]",prostitution
151,608,Fargo (1996),"Comedy, Crime, Drama, Thriller","[('based on a true story', 1), ('dark comedy', 1), ('KIDNAPPING', 1), ('Steve Buscemi', 1), ('Coen Brothers', 1)]","based on a true story, dark comedy, KIDNAPPING, Steve Buscemi, Coen Brothers"
152,616,The Aristocats (1970),"Animation, Children","[('Disney', 1)]",Disney
153,628,Primal Fear (1996),"Crime, Drama, Mystery, Thriller","[('edward norton', 1), ('psychology', 1), ('suspense', 1), ('thought-provoking', 1), ('twist ending', 1), ('priest', 1)]","edward norton, psychology, suspense, thought-provoking, twist ending"
154,638,Jack and Sarah (1995),Romance,"[('babies', 1)]",babies
155,647,Courage Under Fire (1996),"Action, Crime, Drama, War","[('Gulf War', 1)]",Gulf War
156,648,Mission: Impossible (1996),"Action, Adventure, Mystery, Thriller","[('based on a TV show', 1)]",based on a TV show
157,668,Song of the Little Road (Pather Panchali) (1955),Drama,"[('India', 1)]",India
158,670,The World of Apu (Apur Sansar) (1959),Drama,"[('India', 1)]",India
159,671,Mystery Science Theater 3000: The Movie (1996),"Comedy, Sci-Fi","[('spoof', 1)]",spoof
160,673,Space Jam (1996),"Adventure, Animation, Children, Comedy, Fantasy, Sci-Fi","[('Bugs Bunny', 1)]",Bugs Bunny
161,707,Mulholland Falls (1996),"Crime, Drama, Thriller","[('bad', 1)]",bad
162,708,The Truth About Cats & Dogs (1996),"Comedy, Romance","[('Veterinarian', 1)]",Veterinarian
163,720,Wallace & Gromit: The Best of Aardman Animation (1996),"Adventure, Animation, Comedy","[('Aardman', 1)]",Aardman
164,728,Cold Comfort Farm (1995),Comedy,"[('In Netflix queue', 1)]",In Netflix queue
165,733,The Rock (1996),"Action, Adventure, Thriller","[('Alcatraz', 1), ('Michael Bay', 1), ('terrorism', 1)]","Alcatraz, Michael Bay, terrorism"
166,736,Twister (1996),"Action, Adventure, Romance, Thriller","[('Disaster', 1)]",Disaster
167,745,Wallace & Gromit: A Close Shave (1995),"Animation, Children, Comedy","[('Aardman', 1)]",Aardman
168,748,The Arrival (1996),"Action, Sci-Fi, Thriller","[('aliens', 1)]",aliens
169,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Comedy, War","[('dark comedy', 3), ('black comedy', 2), ('Atomic bomb', 1), ('satire', 1), ('purity of essence', 1), ('Slim Pickens', 1), ('Quirky', 1)]","dark comedy, black comedy, Atomic bomb, satire, purity of essence"
170,778,Trainspotting (1996),"Comedy, Crime, Drama","[('based on a book', 1), ('dark comedy', 1), ('narrated', 1), ('drug abuse', 1)]","based on a book, dark comedy, narrated, drug abuse"
171,780,Independence Day (a.k.a. ID4) (1996),"Action, Adventure, Sci-Fi, Thriller","[('aliens', 1)]",aliens
172,800,Lone Star (1996),"Drama, Mystery, Western","[('In Netflix queue', 1)]",In Netflix queue
173,805,"Time to Kill, A (1996)","Drama, Thriller","[('John Grisham', 1)]",John Grisham
174,818,"Very Brady Sequel, A (1996)",Comedy,"[('based on a TV show', 1)]",based on a TV show
175,830,The First Wives Club (1996),Comedy,"[('adultery', 1)]",adultery
176,832,Ransom (1996),"Crime, Thriller","[('kidnapping', 1), ('GIVE ME BACK MY SON!', 1), ('It was melodramatic and kind of dumb', 1), ('Mel Gibson', 1)]","kidnapping, GIVE ME BACK MY SON!, It was melodramatic and kind of dumb, Mel Gibson"
177,836,Chain Reaction (1996),"Action, Adventure, Thriller","[('seen at the cinema', 1)]",seen at the cinema
178,838,Emma (1996),"Comedy, Drama, Romance","[('Jane Austen', 1)]",Jane Austen
179,852,Tin Cup (1996),"Comedy, Drama, Romance","[('golf', 1)]",golf
180,858,The Godfather (1972),"Crime, Drama","[('Mafia', 1)]",Mafia
181,892,Twelfth Night (1996),"Comedy, Drama, Romance","[('Shakespeare', 1)]",Shakespeare
182,898,The Philadelphia Story (1940),"Comedy, Drama, Romance","[('divorce', 1)]",divorce
183,899,Singin' in the Rain (1952),"Comedy, Musical, Romance","[('movie business', 1)]",movie business
184,900,"American in Paris, An (1951)","Musical, Romance","[('France', 1)]",France
185,902,Breakfast at Tiffany's (1961),"Drama, Romance","[('Capote', 1)]",Capote
186,903,Vertigo (1958),"Drama, Mystery, Romance, Thriller","[('falling', 1), ('Alfred Hitchcock', 1), ('Atmospheric', 1), ('imdb top 250', 1), ('James Stewart', 1)]","falling, Alfred Hitchcock, Atmospheric, imdb top 250, James Stewart"
187,904,Rear Window (1954),"Mystery, Thriller","[('voyeurism', 1), ('imdb top 250', 1), ('James Stewart', 1), ('mystery', 1), ('photographer', 1), ('photography', 1)]","voyeurism, imdb top 250, James Stewart, mystery, photographer"
188,905,It Happened One Night (1934),"Comedy, Romance","[('Screwball', 1)]",Screwball
189,906,Gaslight (1944),"Drama, Thriller","[('Brooch', 1)]",Brooch
190,907,The Gay Divorcee (1934),"Comedy, Musical, Romance","[('divorce', 1)]",divorce
191,908,North by Northwest (1959),"Action, Adventure, Mystery, Romance, Thriller","[('Mount Rushmore', 1), ('Alfred Hitchcock', 1), ('imdb top 250', 1)]","Mount Rushmore, Alfred Hitchcock, imdb top 250"
192,909,The Apartment (1960),"Comedy, Drama, Romance","[('adultery', 1)]",adultery
193,910,Some Like It Hot (1959),"Comedy, Crime","[('men in drag', 1)]",men in drag
194,911,Charade (1963),"Comedy, Crime, Mystery, Romance, Thriller","[('heist', 1)]",heist
195,912,Casablanca (1942),"Drama, Romance","[('start of a beautiful friendship', 1)]",start of a beautiful friendship
196,913,The Maltese Falcon (1941),"Film-Noir, Mystery","[('statue', 1)]",statue
